Ay,Satış,Gider,Kâr,Müşteri,Bölge
Ocak,142500,89300,53200,1842,Marmara
Ocak,67800,43200,24600,921,İç Anadolu
Ocak,54300,35100,19200,734,Ege
Ocak,38900,26400,12500,512,Karadeniz
Ocak,31200,21800,9400,423,Güneydoğu Anadolu
Şubat,158200,97400,60800,2014,Marmara
Şubat,74100,46800,27300,987,İç Anadolu
Şubat,61500,39200,22300,812,Ege
Şubat,42300,28700,13600,558,Karadeniz
Şubat,35800,24300,11500,467,Güneydoğu Anadolu
Mart,171400,104200,67200,2198,Marmara
Mart,81300,50400,30900,1043,İç Anadolu
Mart,69800,43700,26100,891,Ege
Mart,47600,31900,15700,614,Karadeniz
Mart,40200,27100,13100,521,Güneydoğu Anadolu
Nisan,165800,101300,64500,2134,Marmara
Nisan,78900,49100,29800,1012,İç Anadolu
Nisan,73400,45800,27600,934,Ege
Nisan,45100,30200,14900,589,Karadeniz
Nisan,43700,29400,14300,567,Güneydoğu Anadolu
Mayıs,189300,114200,75100,2387,Marmara
Mayıs,89700,55300,34400,1134,İç Anadolu
Mayıs,84600,52100,32500,1067,Ege
Mayıs,51400,34100,17300,658,Karadeniz
Mayıs,49800,33200,16600,634,Güneydoğu Anadolu
Haziran,214700,128400,86300,2641,Marmara
Haziran,97200,59800,37400,1221,İç Anadolu
Haziran,96300,58700,37600,1198,Ege
Haziran,58300,38400,19900,731,Karadeniz
Haziran,54100,36200,17900,678,Güneydoğu Anadolu
Temmuz,238900,141200,97700,2893,Marmara
Temmuz,104300,63700,40600,1298,İç Anadolu
Temmuz,108700,65400,43300,1341,Ege
Temmuz,63100,41200,21900,789,Karadeniz
Temmuz,58700,38900,19800,731,Güneydoğu Anadolu
Ağustos,228400,135600,92800,2784,Marmara
Ağustos,101200,62100,39100,1267,İç Anadolu
Ağustos,103400,62800,40600,1289,Ege
Ağustos,60700,39800,20900,762,Karadeniz
Ağustos,56300,37400,18900,709,Güneydoğu Anadolu
Eylül,203100,121800,81300,2512,Marmara
Eylül,94700,58400,36300,1187,İç Anadolu
Eylül,91200,55900,35300,1143,Ege
Eylül,55900,36700,19200,703,Karadeniz
Eylül,51400,34300,17100,648,Güneydoğu Anadolu
Ekim,181400,109700,71700,2287,Marmara
Ekim,87300,54200,33100,1098,İç Anadolu
Ekim,79800,49700,30100,1012,Ege
Ekim,51200,33900,17300,647,Karadeniz
Ekim,47100,31700,15400,598,Güneydoğu Anadolu
Kasım,163200,99400,63800,2098,Marmara
Kasım,80100,50100,30000,1021,İç Anadolu
Kasım,71300,44800,26500,912,Ege
Kasım,47800,31900,15900,611,Karadeniz
Kasım,43200,29100,14100,553,Güneydoğu Anadolu
Aralık,148700,91200,57500,1934,Marmara
Aralık,73400,46300,27100,947,İç Anadolu
Aralık,63100,40200,22900,814,Ege
Aralık,44100,29700,14400,571,Karadeniz
Aralık,39800,27100,12700,514,Güneydoğu Anadolu
